,1696063983.2686644,bytearray(b'g\x08\x00\x00\xe1\x00@\x00'),bytearray(b'\xbe\x05\xf5\x04l\x03\x00\xff'),bytearray(b'Q\x07\xa6\x05\t\x00Q\x02'),bytearray(b'\t\x00\xe6\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063984.0037897,bytearray(b'H\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xe4\x04l\x03\x00\xff'),bytearray(b'\xf1\x06\xa7\x05\t\x00I\x02'),bytearray(b'\t\x00\xd1\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.0279698,bytearray(b'H\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xdc\x04l\x03\x00\xff'),bytearray(b'\x19\x07\xa6\x05\t\x00F\x02'),bytearray(b'\t\x00\xcc\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.051778,bytearray(b'\x9b\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xdc\x04l\x03\x00\xff'),bytearray(b'\x19\x07\xa6\x05\t\x00F\x02'),bytearray(b'\t\x00\xcc\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.0754716,bytearray(b'\x9b\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xdd\x04l\x03\x00\xff'),bytearray(b'\x19\x07\xa6\x05\t\x00F\x02'),bytearray(b'\t\x00\xcc\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.0982769,bytearray(b'2\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xdd\x04l\x03\x00\xff'),bytearray(b'\x19\x07\xa6\x05\t\x00F\x02'),bytearray(b'\t\x00\xcc\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.1213188,bytearray(b'2\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xeb\x04l\x03\x00\xff'),bytearray(b'\xf9\x06\xa6\x05\t\x00H\x02'),bytearray(b'\t\x00\xcc\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.1448965,bytearray(b'2\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xeb\x04l\x03\x00\xff'),bytearray(b'\xf9\x06\xa6\x05\t\x00H\x02'),bytearray(b'\t\x00\xca\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.1683602,bytearray(b'~\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xe1\x04l\x03\x00\xff'),bytearray(b'\xf9\x06\xa6\x05\t\x00H\x02'),bytearray(b'\t\x00\xca\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.1917496,bytearray(b'~\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xe1\x04l\x03\x00\xff'),bytearray(b'\xf9\x06\xa6\x05\t\x00H\x02'),bytearray(b'\t\x00\xca\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
1696063984.2150288,bytearray(b'\x02\x08\x00\x00\xe1\x002\x00'),bytearray(b'\xbe\x05\xef\x04l\x03\x00\xff'),bytearray(b'\xf9\x06\xa6\x05\t\x00H\x02'),bytearray(b'\t\x00\xca\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
